#Coverage	Number of genomic locations
0.0	193874.0
1.0	1184.0
2.0	819.0
3.0	786.0
4.0	626.0
5.0	654.0
6.0	439.0
7.0	628.0
8.0	546.0
9.0	464.0
10.0	561.0
11.0	508.0
12.0	688.0
13.0	746.0
14.0	762.0
15.0	943.0
16.0	927.0
17.0	852.0
18.0	1110.0
19.0	1083.0
20.0	1027.0
21.0	931.0
22.0	841.0
23.0	853.0
24.0	709.0
25.0	673.0
26.0	688.0
27.0	526.0
28.0	561.0
29.0	450.0
30.0	438.0
31.0	436.0
32.0	411.0
33.0	465.0
34.0	484.0
35.0	419.0
36.0	527.0
37.0	485.0
38.0	530.0
39.0	568.0
40.0	561.0
41.0	511.0
42.0	573.0
43.0	617.0
44.0	651.0
45.0	621.0
46.0	674.0
47.0	675.0
48.0	718.0
49.0	777.0
50.0	830.0
51.0	765.0
52.0	939.0
53.0	1064.0
54.0	996.0
55.0	1110.0
56.0	1149.0
57.0	1131.0
58.0	1229.0
59.0	1240.0
60.0	1342.0
61.0	1417.0
62.0	1462.0
63.0	1570.0
64.0	1517.0
65.0	1726.0
66.0	1886.0
67.0	1957.0
68.0	2166.0
69.0	2291.0
70.0	2399.0
71.0	2663.0
72.0	2750.0
73.0	3167.0
74.0	3518.0
75.0	3866.0
76.0	4335.0
77.0	4724.0
78.0	5418.0
79.0	6344.0
80.0	7249.0
81.0	8061.0
82.0	9270.0
83.0	10633.0
84.0	12119.0
85.0	13918.0
86.0	16225.0
87.0	18588.0
88.0	21064.0
89.0	23906.0
90.0	27222.0
91.0	31169.0
92.0	35200.0
93.0	39263.0
94.0	44158.0
95.0	48767.0
96.0	54118.0
97.0	59987.0
98.0	65520.0
99.0	71441.0
100.0	77119.0
101.0	83990.0
102.0	90348.0
103.0	96472.0
104.0	102742.0
105.0	109106.0
106.0	114934.0
107.0	120863.0
108.0	126368.0
109.0	132063.0
110.0	136521.0
111.0	139843.0
112.0	144529.0
113.0	147173.0
114.0	149970.0
115.0	151817.0
116.0	152576.0
117.0	153670.0
118.0	153509.0
119.0	153076.0
120.0	151714.0
121.0	149284.0
122.0	145683.0
123.0	143222.0
124.0	140436.0
125.0	136008.0
126.0	131863.0
127.0	126814.0
128.0	121306.0
129.0	116103.0
130.0	110949.0
131.0	104767.0
132.0	99275.0
133.0	94195.0
134.0	88147.0
135.0	82615.0
136.0	77123.0
137.0	71844.0
138.0	66328.0
139.0	61568.0
140.0	56752.0
141.0	51703.0
142.0	47517.0
143.0	43420.0
144.0	38849.0
145.0	35886.0
146.0	32427.0
147.0	29253.0
148.0	26503.0
149.0	23952.0
150.0	21459.0
151.0	19075.0
152.0	17106.0
153.0	15019.0
154.0	13654.0
155.0	12035.0
156.0	10589.0
157.0	9572.0
158.0	8367.0
159.0	7452.0
160.0	6584.0
161.0	5663.0
162.0	5140.0
163.0	4517.0
164.0	3865.0
165.0	3441.0
166.0	3153.0
167.0	2872.0
168.0	2532.0
169.0	2253.0
170.0	1930.0
171.0	1761.0
172.0	1589.0
173.0	1427.0
174.0	1222.0
175.0	1188.0
176.0	1087.0
177.0	968.0
178.0	838.0
179.0	782.0
180.0	704.0
181.0	661.0
182.0	604.0
183.0	534.0
184.0	514.0
185.0	470.0
186.0	473.0
187.0	430.0
188.0	436.0
189.0	365.0
190.0	361.0
191.0	307.0
192.0	337.0
193.0	260.0
194.0	302.0
195.0	255.0
196.0	258.0
197.0	249.0
198.0	236.0
199.0	248.0
200.0	231.0
201.0	220.0
202.0	257.0
203.0	216.0
204.0	213.0
205.0	225.0
206.0	216.0
207.0	240.0
208.0	233.0
209.0	203.0
210.0	210.0
211.0	184.0
212.0	189.0
213.0	208.0
214.0	214.0
215.0	190.0
216.0	196.0
217.0	182.0
218.0	185.0
219.0	176.0
220.0	183.0
221.0	167.0
222.0	165.0
223.0	180.0
224.0	163.0
225.0	152.0
226.0	164.0
227.0	147.0
228.0	168.0
229.0	163.0
230.0	143.0
231.0	169.0
232.0	143.0
233.0	156.0
234.0	152.0
235.0	165.0
236.0	156.0
237.0	164.0
238.0	132.0
239.0	146.0
240.0	150.0
241.0	140.0
242.0	142.0
243.0	146.0
244.0	131.0
245.0	140.0
246.0	112.0
247.0	103.0
248.0	127.0
249.0	139.0
250.0	113.0
251.0	111.0
252.0	99.0
253.0	104.0
254.0	96.0
255.0	72.0
256.0	101.0
257.0	100.0
258.0	78.0
259.0	76.0
260.0	101.0
261.0	67.0
262.0	76.0
263.0	76.0
264.0	75.0
265.0	85.0
266.0	81.0
267.0	77.0
268.0	86.0
269.0	77.0
270.0	62.0
271.0	61.0
272.0	76.0
273.0	70.0
274.0	80.0
275.0	59.0
276.0	72.0
277.0	57.0
278.0	50.0
279.0	56.0
280.0	65.0
281.0	49.0
282.0	52.0
283.0	57.0
284.0	44.0
285.0	48.0
286.0	36.0
287.0	55.0
288.0	66.0
289.0	39.0
290.0	37.0
291.0	47.0
292.0	53.0
293.0	41.0
294.0	60.0
295.0	49.0
296.0	50.0
297.0	51.0
298.0	44.0
299.0	49.0
300.0	38.0
301.0	41.0
302.0	28.0
303.0	37.0
304.0	33.0
305.0	40.0
306.0	45.0
307.0	34.0
308.0	38.0
309.0	31.0
310.0	35.0
311.0	35.0
312.0	34.0
313.0	27.0
314.0	48.0
315.0	30.0
316.0	42.0
317.0	21.0
318.0	38.0
319.0	22.0
320.0	28.0
321.0	24.0
322.0	31.0
323.0	26.0
324.0	23.0
325.0	18.0
326.0	25.0
327.0	12.0
328.0	17.0
329.0	19.0
330.0	25.0
331.0	14.0
332.0	18.0
333.0	17.0
334.0	22.0
335.0	14.0
336.0	10.0
337.0	9.0
338.0	12.0
339.0	15.0
340.0	10.0
341.0	13.0
342.0	9.0
343.0	5.0
344.0	10.0
345.0	9.0
346.0	14.0
347.0	10.0
348.0	7.0
349.0	5.0
350.0	13.0
351.0	6.0
352.0	9.0
353.0	8.0
354.0	7.0
355.0	4.0
356.0	9.0
357.0	13.0
358.0	14.0
359.0	9.0
360.0	15.0
361.0	15.0
362.0	14.0
363.0	18.0
364.0	11.0
365.0	6.0
366.0	23.0
367.0	11.0
368.0	17.0
369.0	14.0
370.0	11.0
371.0	10.0
372.0	7.0
373.0	19.0
374.0	10.0
375.0	11.0
376.0	12.0
377.0	11.0
378.0	6.0
379.0	11.0
380.0	4.0
381.0	13.0
382.0	7.0
383.0	7.0
384.0	15.0
385.0	9.0
386.0	10.0
387.0	12.0
388.0	7.0
389.0	14.0
390.0	15.0
391.0	6.0
392.0	11.0
393.0	12.0
394.0	7.0
395.0	10.0
396.0	12.0
397.0	12.0
398.0	7.0
399.0	7.0
400.0	7.0
401.0	7.0
402.0	7.0
403.0	12.0
404.0	12.0
405.0	12.0
406.0	5.0
407.0	9.0
408.0	5.0
409.0	17.0
410.0	8.0
411.0	9.0
412.0	4.0
413.0	8.0
414.0	8.0
415.0	14.0
416.0	8.0
417.0	9.0
418.0	4.0
419.0	7.0
420.0	6.0
421.0	3.0
422.0	2.0
423.0	10.0
424.0	7.0
425.0	5.0
426.0	6.0
427.0	5.0
428.0	8.0
429.0	10.0
430.0	6.0
431.0	4.0
432.0	4.0
433.0	5.0
434.0	3.0
435.0	1.0
436.0	10.0
437.0	4.0
438.0	4.0
439.0	4.0
440.0	7.0
441.0	2.0
442.0	4.0
443.0	5.0
444.0	4.0
445.0	6.0
446.0	2.0
447.0	1.0
448.0	5.0
449.0	2.0
450.0	8.0
451.0	6.0
452.0	4.0
453.0	4.0
454.0	7.0
455.0	6.0
456.0	2.0
457.0	7.0
458.0	2.0
459.0	4.0
461.0	4.0
462.0	4.0
463.0	5.0
