#Duplication rate	Coverage
1.0	1531559.0
2.0	1088432.0
3.0	700756.0
4.0	423401.0
5.0	246737.0
6.0	140417.0
7.0	78209.0
8.0	43194.0
9.0	23621.0
10.0	12912.0
11.0	7046.0
12.0	3943.0
13.0	2161.0
14.0	1174.0
15.0	732.0
16.0	459.0
17.0	321.0
18.0	221.0
19.0	171.0
20.0	138.0
21.0	114.0
22.0	81.0
23.0	73.0
24.0	76.0
25.0	48.0
26.0	47.0
27.0	46.0
28.0	35.0
29.0	36.0
30.0	39.0
31.0	50.0
32.0	26.0
33.0	27.0
34.0	16.0
35.0	22.0
36.0	14.0
37.0	20.0
38.0	12.0
39.0	17.0
40.0	12.0
41.0	17.0
42.0	16.0
43.0	16.0
44.0	8.0
45.0	10.0
46.0	15.0
47.0	14.0
48.0	14.0
49.0	13.0
50.0	347.0
