#Coverage (X)	Coverage
1.0	96.90514851851829
2.0	96.88624807723129
3.0	96.87317420779375
4.0	96.86062712430424
5.0	96.85063415450217
6.0	96.8401942148048
7.0	96.8331863653749
8.0	96.82316146915173
9.0	96.81444555619338
10.0	96.80703862649982
11.0	96.79808326538327
12.0	96.78997395442568
13.0	96.77899126556972
14.0	96.76708271050207
15.0	96.75491874406568
16.0	96.73986543652038
17.0	96.72506754034382
18.0	96.71146688495826
19.0	96.6937477212517
20.0	96.67645956422989
21.0	96.66006534699869
22.0	96.64520359797996
23.0	96.63177853791039
24.0	96.61816191931428
25.0	96.60684400303684
26.0	96.59610076233908
27.0	96.58511807348313
28.0	96.5767214247357
29.0	96.56776606361915
30.0	96.56058261887324
31.0	96.5535907326539
32.0	96.54663077285565
33.0	96.54006989332106
34.0	96.53264700041696
35.0	96.52492080651248
36.0	96.51823222129352
37.0	96.50981960933554
38.0	96.50207745222052
39.0	96.4936169506309
40.0	96.48454984704051
41.0	96.47559448592396
42.0	96.46743728533473
43.0	96.45829036569161
44.0	96.44844106478446
45.0	96.43804901471871
46.0	96.42813586096938
47.0	96.41737665706107
48.0	96.40660148994222
49.0	96.39513990476988
50.0	96.38273649017528
51.0	96.36948702542173
