#Insert size (bp)	insert size
2.0	8.0
3.0	15.0
4.0	8.0
5.0	5.0
6.0	11.0
7.0	50.0
8.0	57.0
9.0	48.0
10.0	107.0
11.0	74.0
12.0	91.0
13.0	105.0
14.0	106.0
15.0	96.0
16.0	117.0
17.0	133.0
18.0	143.0
19.0	293.0
20.0	211.0
21.0	187.0
22.0	195.0
23.0	158.0
24.0	170.0
25.0	217.0
26.0	229.0
27.0	215.0
28.0	221.0
29.0	237.0
30.0	242.0
31.0	242.0
32.0	264.0
33.0	294.0
34.0	273.0
35.0	302.0
36.0	298.0
37.0	320.0
38.0	341.0
39.0	366.0
40.0	346.0
41.0	401.0
42.0	414.0
43.0	421.0
44.0	452.0
45.0	431.0
46.0	472.0
47.0	486.0
48.0	512.0
49.0	506.0
50.0	546.0
51.0	532.0
52.0	629.0
53.0	584.0
54.0	654.0
55.0	664.0
56.0	670.0
57.0	705.0
58.0	710.0
59.0	698.0
60.0	758.0
61.0	753.0
62.0	798.0
63.0	783.0
64.0	844.0
65.0	908.0
66.0	896.0
67.0	942.0
68.0	944.0
69.0	1017.0
70.0	1035.0
71.0	984.0
72.0	1093.0
73.0	1116.0
74.0	1166.0
75.0	1187.0
76.0	1245.0
77.0	1305.0
78.0	1365.0
79.0	1302.0
80.0	1384.0
81.0	1349.0
82.0	1419.0
83.0	1533.0
84.0	1540.0
85.0	1555.0
86.0	1699.0
87.0	1677.0
88.0	1708.0
89.0	1683.0
90.0	1786.0
91.0	1889.0
92.0	1909.0
93.0	1987.0
94.0	2048.0
95.0	2088.0
96.0	2179.0
97.0	2204.0
98.0	2252.0
99.0	2387.0
100.0	2475.0
101.0	2570.0
102.0	2403.0
103.0	2600.0
104.0	2793.0
105.0	2805.0
106.0	2804.0
107.0	2841.0
108.0	2965.0
109.0	3000.0
110.0	3115.0
111.0	3307.0
112.0	3435.0
113.0	3346.0
114.0	3469.0
115.0	3548.0
116.0	3638.0
117.0	3755.0
118.0	3770.0
119.0	4025.0
120.0	3927.0
121.0	4076.0
122.0	4238.0
123.0	4208.0
124.0	4302.0
125.0	4526.0
126.0	4562.0
127.0	4789.0
128.0	4707.0
129.0	4907.0
130.0	5115.0
131.0	5218.0
132.0	5279.0
133.0	5478.0
134.0	5534.0
135.0	5731.0
136.0	5665.0
137.0	5774.0
138.0	6001.0
139.0	6182.0
140.0	6302.0
141.0	6448.0
142.0	6609.0
143.0	6820.0
144.0	6781.0
145.0	6959.0
146.0	7036.0
147.0	7146.0
148.0	7460.0
149.0	7555.0
150.0	7678.0
151.0	7845.0
152.0	8004.0
153.0	8137.0
154.0	8406.0
155.0	8598.0
156.0	8714.0
157.0	8754.0
158.0	8969.0
159.0	8971.0
160.0	9312.0
161.0	9571.0
162.0	9649.0
163.0	9994.0
164.0	9866.0
165.0	10232.0
166.0	10175.0
167.0	10417.0
168.0	10622.0
169.0	11034.0
170.0	11221.0
171.0	11363.0
172.0	11559.0
173.0	11821.0
174.0	11871.0
175.0	12250.0
176.0	12289.0
177.0	12497.0
178.0	12735.0
179.0	12905.0
180.0	12910.0
181.0	13311.0
182.0	13391.0
183.0	13611.0
184.0	14029.0
185.0	14190.0
186.0	14400.0
187.0	14576.0
188.0	14517.0
189.0	15046.0
190.0	15245.0
191.0	15269.0
192.0	15272.0
193.0	15867.0
194.0	16009.0
195.0	16323.0
196.0	16217.0
197.0	16665.0
198.0	16734.0
199.0	17311.0
200.0	17293.0
201.0	17349.0
202.0	17815.0
203.0	18226.0
204.0	18093.0
205.0	18409.0
206.0	18494.0
207.0	18558.0
208.0	18958.0
209.0	19344.0
210.0	19076.0
211.0	19322.0
212.0	19772.0
213.0	19706.0
214.0	19920.0
215.0	20466.0
216.0	20361.0
217.0	20749.0
218.0	20798.0
219.0	21195.0
220.0	21253.0
221.0	21781.0
