#Read position (bp)	Clipping profile
0.0	6.811384473414635
1.0	3.25150650323057
2.0	3.1111276980202205
3.0	2.927286356194315
4.0	2.668352060269836
5.0	2.3691852121606067
6.0	2.2639345795940966
7.0	2.1348356163856277
8.0	2.000849837354385
9.0	1.8600526403783866
10.0	1.7143351562383633
11.0	1.6164314830766389
12.0	1.5174567269948542
13.0	1.4159046776366755
14.0	1.3143358926078712
15.0	1.2173359456599468
16.0	1.138276637623026
17.0	1.062899177123811
18.0	0.9845092959119275
19.0	0.9133994314223262
20.0	0.8458542647760491
21.0	0.78927096238976
22.0	0.7361854151642916
23.0	0.6851248840845614
24.0	0.6392189395576193
25.0	0.5995721358447773
26.0	0.5666865430648135
27.0	0.5350226542405428
28.0	0.5075928900846339
29.0	0.48657288777845853
30.0	1.2292852144868651
31.0	1.125975919712963
32.0	1.093960581805548
33.0	0.9236918688572767
34.0	0.757188681799841
35.0	0.7808027130530365
36.0	0.6609251043594581
37.0	0.617127854331384
38.0	0.6109021848585359
39.0	0.6142995259956009
40.0	0.6537957086728095
41.0	0.6875850276665739
42.0	0.7258595063880892
43.0	0.775715069182752
44.0	0.8291185941501134
45.0	0.8926806711874177
46.0	0.9600417454568093
47.0	1.0294445715425653
48.0	1.106713162822511
49.0	1.188651006207093
50.0	1.2743209041412584
51.0	1.375320676368781
52.0	1.4741448114149323
53.0	1.57388940834551
54.0	1.6734164415579504
55.0	1.7928923941565063
56.0	1.9343757536281678
57.0	2.0695330296032255
58.0	2.2061797802639918
59.0	2.3403161803308676
60.0	2.524609385263673
61.0	2.7939197969762324
62.0	2.9989484978145726
63.0	3.0839657045943265
64.0	2.9976431155057495
65.0	1.9382584292133849
