#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	2.756347178465211E-6
16.0	0.0
17.0	1.3781735892326054E-6
18.0	2.756347178465211E-6
19.0	2.756347178465211E-6
20.0	2.756347178465211E-6
21.0	8.269041535395633E-6
22.0	9.647215124628238E-6
23.0	8.269041535395632E-6
24.0	6.8908679461630275E-6
25.0	2.4807124606186895E-5
26.0	3.583251332004774E-5
27.0	4.2723381266210766E-5
28.0	7.166502664009547E-5
29.0	6.339598510469985E-5
30.0	1.267919702093997E-4
31.0	1.5022092122635397E-4
32.0	1.5297726840481917E-4
33.0	2.0259151761719302E-4
34.0	2.453148988834038E-4
35.0	3.5281243884354693E-4
36.0	3.941576465205251E-4
37.0	4.7546988828524886E-4
38.0	6.07774552851579E-4
39.0	6.504979341177896E-4
40.0	7.304320022932811E-4
41.0	8.69627534805774E-4
42.0	0.001019848456032128
43.0	0.0011824729395615754
44.0	0.0013575009853941163
45.0	0.0016593210014360568
46.0	0.001918417636211787
47.0	0.0022023213955937033
48.0	0.0026116389515957873
49.0	0.0029575605224931713
50.0	0.003577738637647844
51.0	0.004665117599552369
52.0	0.004490089553719828
53.0	0.006084636396461954
54.0	0.0071444518865818275
55.0	0.009098702036113659
56.0	0.01144159713780909
57.0	0.014131791983991138
58.0	0.01781978450877759
59.0	0.021912960068798424
60.0	0.02655464871733384
61.0	0.03254281296254951
62.0	0.03819056833122472
63.0	0.044151169104655746
64.0	0.05056381081535507
65.0	0.05492021753091934
66.0	0.05979206116885658
67.0	0.06357790401847856
68.0	0.06451506205915673
69.0	0.06404234851804995
70.0	0.06233341326740151
71.0	0.05775374243038157
72.0	0.052228644511148045
73.0	0.04645409717226343
74.0	0.03929586354978928
75.0	0.03265720137045582
76.0	0.026331384595878162
77.0	0.01976714379036326
78.0	0.014695464981987271
79.0	0.010337680092833774
80.0	0.007017659916372427
81.0	0.004773993313101745
82.0	0.002920349835583891
83.0	0.0017337423752546177
84.0	0.0010060667201398016
85.0	6.036400320838812E-4
86.0	3.266271406481274E-4
87.0	1.764062194217735E-4
88.0	8.958128330011935E-5
89.0	3.583251332004774E-5
90.0	1.791625666002387E-5
91.0	1.5159909481558661E-5
92.0	2.756347178465211E-6
93.0	4.134520767697816E-6
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.2370596390839005E-5
