#Mapping quality	mapping quality
0.0	40927.0
1.0	2559.0
2.0	1810.0
3.0	1688.0
4.0	1784.0
5.0	1858.0
6.0	1925.0
7.0	2067.0
8.0	2342.0
9.0	2298.0
10.0	2113.0
11.0	1820.0
12.0	1656.0
13.0	1698.0
14.0	1648.0
15.0	1490.0
16.0	1573.0
17.0	1777.0
18.0	1761.0
19.0	1747.0
20.0	1784.0
21.0	1743.0
22.0	1733.0
23.0	1695.0
24.0	1739.0
25.0	1545.0
26.0	1739.0
27.0	1699.0
28.0	1650.0
29.0	1523.0
30.0	1464.0
31.0	1451.0
32.0	1235.0
33.0	1066.0
34.0	1153.0
35.0	1109.0
36.0	1259.0
37.0	1239.0
38.0	1342.0
39.0	1236.0
40.0	1759.0
41.0	1599.0
42.0	1369.0
43.0	1378.0
44.0	1530.0
45.0	1724.0
46.0	1719.0
47.0	1858.0
48.0	2077.0
49.0	2175.0
50.0	2457.0
51.0	2756.0
52.0	3293.0
53.0	3998.0
54.0	4449.0
55.0	5653.0
56.0	7129.0
57.0	9943.0
58.0	20487.0
59.0	747962.0
60.0	5139270.0
