#Coverage	Number of genomic locations
0.0	193804.0
1.0	1225.0
2.0	808.0
3.0	795.0
4.0	655.0
5.0	712.0
6.0	490.0
7.0	595.0
8.0	581.0
9.0	439.0
10.0	517.0
11.0	546.0
12.0	701.0
13.0	769.0
14.0	652.0
15.0	857.0
16.0	1006.0
17.0	1005.0
18.0	1028.0
19.0	1077.0
20.0	995.0
21.0	864.0
22.0	846.0
23.0	740.0
24.0	697.0
25.0	666.0
26.0	726.0
27.0	662.0
28.0	534.0
29.0	460.0
30.0	460.0
31.0	412.0
32.0	418.0
33.0	470.0
34.0	499.0
35.0	432.0
36.0	526.0
37.0	439.0
38.0	492.0
39.0	558.0
40.0	590.0
41.0	510.0
42.0	576.0
43.0	608.0
44.0	648.0
45.0	663.0
46.0	675.0
47.0	678.0
48.0	688.0
49.0	752.0
50.0	799.0
51.0	781.0
52.0	954.0
53.0	1063.0
54.0	995.0
55.0	1064.0
56.0	1158.0
57.0	1187.0
58.0	1180.0
59.0	1246.0
60.0	1365.0
61.0	1403.0
62.0	1451.0
63.0	1601.0
64.0	1500.0
65.0	1741.0
66.0	1913.0
67.0	2012.0
68.0	2155.0
69.0	2258.0
70.0	2363.0
71.0	2592.0
72.0	2734.0
73.0	3178.0
74.0	3498.0
75.0	3895.0
76.0	4318.0
77.0	4712.0
78.0	5478.0
79.0	6403.0
80.0	7298.0
81.0	8023.0
82.0	9293.0
83.0	10651.0
84.0	12202.0
85.0	13878.0
86.0	16228.0
87.0	18547.0
88.0	21083.0
89.0	23913.0
90.0	27154.0
91.0	31142.0
92.0	35248.0
93.0	39199.0
94.0	44167.0
95.0	48848.0
96.0	54120.0
97.0	59978.0
98.0	65446.0
99.0	71422.0
100.0	77086.0
101.0	83979.0
102.0	90281.0
103.0	96426.0
104.0	102728.0
105.0	109121.0
106.0	114965.0
107.0	120843.0
108.0	126318.0
109.0	132022.0
110.0	136580.0
111.0	139847.0
112.0	144546.0
113.0	147273.0
114.0	149992.0
115.0	151792.0
116.0	152496.0
117.0	153652.0
118.0	153591.0
119.0	153150.0
120.0	151764.0
121.0	149261.0
122.0	145625.0
123.0	143236.0
124.0	140477.0
125.0	135915.0
126.0	131849.0
127.0	126722.0
128.0	121333.0
129.0	116131.0
130.0	110974.0
131.0	104794.0
132.0	99304.0
133.0	94225.0
134.0	88150.0
135.0	82650.0
136.0	77111.0
137.0	71905.0
138.0	66391.0
139.0	61516.0
140.0	56770.0
141.0	51773.0
142.0	47446.0
143.0	43533.0
144.0	38867.0
145.0	35891.0
146.0	32372.0
147.0	29253.0
148.0	26519.0
149.0	23979.0
150.0	21483.0
151.0	19105.0
152.0	17073.0
153.0	15079.0
154.0	13595.0
155.0	11968.0
156.0	10537.0
157.0	9564.0
158.0	8414.0
159.0	7518.0
160.0	6576.0
161.0	5719.0
162.0	5170.0
163.0	4521.0
164.0	3917.0
165.0	3482.0
166.0	3152.0
167.0	2853.0
168.0	2496.0
169.0	2249.0
170.0	1959.0
171.0	1713.0
172.0	1656.0
173.0	1416.0
174.0	1142.0
175.0	1194.0
176.0	1027.0
177.0	955.0
178.0	812.0
179.0	801.0
180.0	687.0
181.0	636.0
182.0	614.0
183.0	517.0
184.0	509.0
185.0	486.0
186.0	480.0
187.0	396.0
188.0	413.0
189.0	369.0
190.0	364.0
191.0	304.0
192.0	313.0
193.0	246.0
194.0	278.0
195.0	253.0
196.0	260.0
197.0	242.0
198.0	272.0
199.0	258.0
200.0	221.0
201.0	220.0
202.0	246.0
203.0	208.0
204.0	243.0
205.0	229.0
206.0	214.0
207.0	214.0
208.0	230.0
209.0	223.0
210.0	211.0
211.0	184.0
212.0	207.0
213.0	190.0
214.0	203.0
215.0	178.0
216.0	196.0
217.0	189.0
218.0	193.0
219.0	185.0
220.0	160.0
221.0	177.0
222.0	161.0
223.0	170.0
224.0	158.0
225.0	151.0
226.0	159.0
227.0	140.0
228.0	156.0
229.0	170.0
230.0	130.0
231.0	167.0
232.0	156.0
233.0	153.0
234.0	148.0
235.0	167.0
236.0	155.0
237.0	155.0
238.0	128.0
239.0	145.0
240.0	151.0
241.0	143.0
242.0	131.0
243.0	141.0
244.0	117.0
245.0	140.0
246.0	117.0
247.0	109.0
248.0	121.0
249.0	142.0
250.0	93.0
251.0	115.0
252.0	110.0
253.0	91.0
254.0	98.0
255.0	78.0
256.0	100.0
257.0	99.0
258.0	82.0
259.0	72.0
260.0	96.0
261.0	79.0
262.0	77.0
263.0	89.0
264.0	73.0
265.0	78.0
266.0	72.0
267.0	71.0
268.0	88.0
269.0	70.0
270.0	56.0
271.0	57.0
272.0	70.0
273.0	62.0
274.0	77.0
275.0	62.0
276.0	73.0
277.0	62.0
278.0	52.0
279.0	61.0
280.0	73.0
281.0	50.0
282.0	54.0
283.0	65.0
284.0	59.0
285.0	57.0
286.0	39.0
287.0	68.0
288.0	55.0
289.0	47.0
290.0	53.0
291.0	48.0
292.0	46.0
293.0	38.0
294.0	54.0
295.0	56.0
296.0	51.0
297.0	52.0
298.0	46.0
299.0	50.0
300.0	33.0
301.0	40.0
302.0	25.0
303.0	39.0
304.0	30.0
305.0	45.0
306.0	46.0
307.0	32.0
308.0	39.0
309.0	25.0
310.0	32.0
311.0	37.0
312.0	36.0
313.0	32.0
314.0	42.0
315.0	30.0
316.0	28.0
317.0	28.0
318.0	37.0
319.0	28.0
320.0	26.0
321.0	22.0
322.0	32.0
323.0	32.0
324.0	23.0
325.0	21.0
326.0	25.0
327.0	11.0
328.0	13.0
329.0	21.0
330.0	26.0
331.0	12.0
332.0	20.0
333.0	15.0
334.0	18.0
335.0	19.0
336.0	16.0
337.0	9.0
338.0	10.0
339.0	16.0
340.0	10.0
341.0	10.0
342.0	11.0
343.0	8.0
344.0	9.0
345.0	10.0
346.0	9.0
347.0	10.0
348.0	4.0
349.0	6.0
350.0	14.0
351.0	10.0
352.0	9.0
353.0	7.0
354.0	11.0
355.0	6.0
356.0	6.0
357.0	16.0
358.0	12.0
359.0	7.0
360.0	17.0
361.0	13.0
362.0	8.0
363.0	20.0
364.0	13.0
365.0	7.0
366.0	20.0
367.0	15.0
368.0	16.0
369.0	14.0
370.0	13.0
371.0	6.0
372.0	7.0
373.0	16.0
374.0	10.0
375.0	13.0
376.0	14.0
377.0	9.0
378.0	6.0
379.0	8.0
380.0	5.0
381.0	13.0
382.0	10.0
383.0	7.0
384.0	15.0
385.0	10.0
386.0	8.0
387.0	12.0
388.0	11.0
389.0	14.0
390.0	12.0
391.0	12.0
392.0	13.0
393.0	10.0
394.0	7.0
395.0	6.0
396.0	13.0
397.0	8.0
398.0	5.0
399.0	2.0
400.0	2.0
401.0	5.0
402.0	7.0
403.0	8.0
404.0	4.0
405.0	10.0
406.0	5.0
407.0	8.0
408.0	9.0
409.0	15.0
410.0	10.0
411.0	12.0
412.0	15.0
413.0	10.0
414.0	8.0
415.0	11.0
416.0	5.0
417.0	5.0
418.0	4.0
419.0	8.0
420.0	9.0
421.0	5.0
422.0	11.0
423.0	7.0
424.0	8.0
425.0	4.0
426.0	7.0
427.0	5.0
428.0	6.0
429.0	9.0
430.0	5.0
431.0	6.0
432.0	6.0
433.0	5.0
434.0	7.0
435.0	1.0
436.0	11.0
437.0	4.0
438.0	4.0
439.0	2.0
440.0	8.0
441.0	5.0
442.0	4.0
443.0	2.0
444.0	3.0
445.0	1.0
446.0	3.0
447.0	1.0
448.0	4.0
449.0	4.0
450.0	5.0
451.0	9.0
452.0	8.0
453.0	3.0
454.0	6.0
455.0	10.0
456.0	1.0
457.0	5.0
458.0	3.0
459.0	4.0
460.0	3.0
461.0	4.0
462.0	2.0
463.0	5.0
464.0	6.0
465.0	3.0
466.0	7.0
467.0	2.0
468.0	8.0
469.0	3.0
470.0	2.0
471.0	6.0
472.0	4.0
473.0	4.0
474.0	7.0
475.0	3.0
476.0	3.0
477.0	5.0
478.0	3.0
479.0	6.0
480.0	8.0
481.0	6.0
482.0	6.0
483.0	10.0
484.0	9.0
485.0	5.0
486.0	4.0
487.0	8.0
488.0	9.0
489.0	10.0
490.0	9.0
491.0	9.0
492.0	4.0
493.0	10.0
494.0	8.0
495.0	13.0
496.0	13.0
497.0	9.0
498.0	12.0
499.0	11.0
500.0	8.0
501.0	3.0
502.0	9.0
503.0	5.0
504.0	9.0
505.0	9.0
506.0	4.0
507.0	11.0
508.0	11.0
509.0	9.0
510.0	18.0
511.0	15.0
512.0	9.0
513.0	6.0
514.0	10.0
515.0	12.0
516.0	13.0
517.0	11.0
518.0	12.0
519.0	14.0
520.0	5.0
521.0	15.0
522.0	11.0
523.0	6.0
524.0	7.0
525.0	14.0
526.0	11.0
527.0	5.0
528.0	7.0
529.0	13.0
530.0	11.0
531.0	5.0
532.0	4.0
533.0	8.0
534.0	5.0
535.0	4.0
536.0	4.0
537.0	6.0
538.0	5.0
539.0	4.0
540.0	8.0
541.0	10.0
542.0	10.0
543.0	10.0
544.0	5.0
545.0	4.0
546.0	8.0
547.0	4.0
548.0	4.0
549.0	6.0
550.0	6.0
551.0	9.0
552.0	10.0
553.0	2.0
554.0	5.0
555.0	6.0
556.0	7.0
557.0	6.0
558.0	6.0
559.0	6.0
560.0	8.0
561.0	6.0
562.0	11.0
563.0	6.0
564.0	6.0
565.0	6.0
566.0	3.0
567.0	7.0
568.0	8.0
569.0	3.0
570.0	6.0
571.0	7.0
572.0	4.0
573.0	6.0
574.0	4.0
575.0	3.0
576.0	5.0
577.0	5.0
578.0	5.0
579.0	2.0
580.0	3.0
581.0	3.0
582.0	7.0
583.0	5.0
584.0	2.0
585.0	5.0
586.0	5.0
587.0	2.0
588.0	6.0
589.0	3.0
590.0	6.0
591.0	3.0
592.0	6.0
593.0	8.0
594.0	4.0
595.0	2.0
596.0	4.0
597.0	4.0
598.0	4.0
599.0	4.0
600.0	7.0
601.0	6.0
602.0	5.0
603.0	2.0
604.0	4.0
605.0	9.0
606.0	8.0
607.0	5.0
608.0	7.0
609.0	5.0
610.0	4.0
611.0	6.0
612.0	7.0
613.0	2.0
614.0	4.0
615.0	7.0
616.0	3.0
617.0	5.0
618.0	10.0
619.0	3.0
620.0	8.0
621.0	6.0
622.0	10.0
623.0	7.0
624.0	3.0
625.0	5.0
626.0	3.0
627.0	10.0
628.0	5.0
629.0	8.0
630.0	2.0
631.0	5.0
632.0	5.0
633.0	5.0
634.0	3.0
635.0	2.0
636.0	2.0
637.0	7.0
638.0	4.0
639.0	2.0
640.0	6.0
641.0	2.0
642.0	2.0
643.0	1.0
644.0	7.0
645.0	4.0
646.0	4.0
647.0	2.0
648.0	3.0
649.0	10.0
650.0	4.0
651.0	3.0
652.0	1.0
653.0	3.0
654.0	2.0
655.0	3.0
656.0	2.0
657.0	3.0
658.0	2.0
659.0	2.0
660.0	3.0
661.0	1.0
662.0	3.0
663.0	1.0
665.0	6.0
666.0	3.0
667.0	1.0
668.0	2.0
669.0	2.0
671.0	3.0
672.0	7.0
673.0	1.0
674.0	2.0
675.0	4.0
676.0	3.0
677.0	3.0
678.0	1.0
680.0	4.0
681.0	4.0
682.0	4.0
683.0	2.0
684.0	7.0
685.0	1.0
686.0	2.0
688.0	3.0
689.0	2.0
690.0	4.0
691.0	2.0
692.0	6.0
693.0	2.0
694.0	2.0
695.0	6.0
696.0	5.0
697.0	1.0
698.0	2.0
699.0	5.0
700.0	4.0
701.0	6.0
702.0	2.0
703.0	1.0
704.0	1.0
705.0	6.0
706.0	3.0
707.0	1.0
708.0	1.0
709.0	2.0
711.0	1.0
712.0	2.0
713.0	3.0
714.0	2.0
715.0	2.0
716.0	5.0
717.0	1.0
718.0	2.0
719.0	2.0
720.0	3.0
721.0	2.0
722.0	1.0
723.0	2.0
725.0	1.0
728.0	1.0
729.0	4.0
732.0	1.0
733.0	2.0
734.0	1.0
735.0	2.0
736.0	1.0
737.0	2.0
738.0	2.0
740.0	1.0
741.0	2.0
743.0	2.0
744.0	2.0
746.0	1.0
747.0	2.0
749.0	2.0
750.0	1.0
754.0	1.0
757.0	3.0
761.0	1.0
763.0	1.0
765.0	1.0
782.0	1.0
784.0	1.0
788.0	1.0
790.0	2.0
791.0	2.0
792.0	1.0
795.0	1.0
798.0	2.0
799.0	1.0
800.0	1.0
802.0	2.0
803.0	1.0
805.0	2.0
806.0	2.0
810.0	1.0
813.0	1.0
817.0	1.0
818.0	1.0
820.0	2.0
824.0	1.0
826.0	1.0
827.0	1.0
829.0	2.0
830.0	1.0
841.0	1.0
843.0	1.0
849.0	1.0
851.0	1.0
857.0	1.0
861.0	1.0
884.0	1.0
890.0	1.0
893.0	1.0
894.0	1.0
903.0	1.0
907.0	1.0
908.0	1.0
911.0	2.0
