#Duplication rate	Coverage
1.0	1531629.0
2.0	1088606.0
3.0	700801.0
4.0	423286.0
5.0	246612.0
6.0	140448.0
7.0	78248.0
8.0	43207.0
9.0	23632.0
10.0	12902.0
11.0	7058.0
12.0	3937.0
13.0	2153.0
14.0	1177.0
15.0	727.0
16.0	465.0
17.0	313.0
18.0	220.0
19.0	175.0
20.0	134.0
21.0	115.0
22.0	83.0
23.0	73.0
24.0	79.0
25.0	48.0
26.0	47.0
27.0	44.0
28.0	36.0
29.0	39.0
30.0	37.0
31.0	48.0
32.0	27.0
33.0	27.0
34.0	17.0
35.0	21.0
36.0	15.0
37.0	19.0
38.0	11.0
39.0	17.0
40.0	13.0
41.0	17.0
42.0	16.0
43.0	15.0
44.0	9.0
45.0	9.0
46.0	16.0
47.0	14.0
48.0	14.0
49.0	13.0
50.0	347.0
