#Coverage (X)	Coverage
1.0	96.90626594325653
2.0	96.88671101033714
3.0	96.87381273621561
4.0	96.86112198383118
5.0	96.85066608092326
6.0	96.8393002750142
7.0	96.83147830184643
8.0	96.8219801915713
9.0	96.8127055662438
10.0	96.80569771681392
11.0	96.79744473696141
12.0	96.78872882400304
13.0	96.77753861340999
14.0	96.76526290449978
15.0	96.75485489122349
16.0	96.74117441978518
17.0	96.72511542997546
18.0	96.70907240337628
19.0	96.69266222293453
20.0	96.67546984517601
21.0	96.6595864506823
22.0	96.64579423677017
23.0	96.63228936064787
24.0	96.6204765848435
25.0	96.60935022709263
26.0	96.5987187288687
27.0	96.58712943801198
28.0	96.57656179263023
29.0	96.56803743819843
30.0	96.56069436134706
31.0	96.5533512844957
32.0	96.54677444175056
33.0	96.54010181974215
34.0	96.53259911078533
35.0	96.52463346872264
36.0	96.51773736176658
37.0	96.50934071301914
38.0	96.50233286358926
39.0	96.49447896400041
40.0	96.48557149251549
41.0	96.47615319829309
42.0	96.4680119609144
43.0	96.45881715163965
44.0	96.44911151962741
45.0	96.4387673591933
46.0	96.42818375060102
47.0	96.41740858348216
48.0	96.40658552673167
49.0	96.39560283787571
50.0	96.38359850354479
51.0	96.37084389831818
