#Read position (bp)	Clipping profile
0.0	6.818609721715732
1.0	3.2514780624850523
2.0	3.1112154680136515
3.0	2.927255745017632
4.0	2.6682695083579335
5.0	2.3691508648801443
6.0	2.2639497350809283
7.0	2.1346992855996456
8.0	2.0007460811909716
9.0	1.8600818279357365
10.0	1.714329896751936
11.0	1.6162749461484354
12.0	1.5172325843680092
13.0	1.4156463836233002
14.0	1.3141103902265707
15.0	1.2171097939306346
16.0	1.1380332208632953
17.0	1.0626887273290813
18.0	0.9843317929161113
19.0	0.9133888102214127
20.0	0.8458264556239844
21.0	0.789309717581994
22.0	0.736106664506635
23.0	0.6849955842637453
24.0	0.6391228039933585
25.0	0.5994087917417615
26.0	0.5665731861633234
27.0	0.534858878023089
28.0	0.5073452513304529
29.0	0.48635857987512093
30.0	1.2279211095288358
31.0	1.1238412771678237
32.0	1.0942189418600585
33.0	0.9234302798172653
34.0	0.755118513608116
35.0	0.7799042077272121
36.0	0.6595739304035784
37.0	0.6170985140131219
38.0	0.6105213514278384
39.0	0.6152073705725696
40.0	0.6533482192541498
41.0	0.6879912893598412
42.0	0.7254794425176909
43.0	0.7757202620622735
44.0	0.8291408803122093
45.0	0.8930883058551307
46.0	0.9600983796247871
47.0	1.0296355565760664
48.0	1.106971608246791
49.0	1.1889100001489485
50.0	1.2745470000189114
51.0	1.3756311272838277
52.0	1.4744391881070174
53.0	1.5741007738458546
54.0	1.673595001758094
55.0	1.7929211321221425
56.0	1.9343552313797263
57.0	2.069613826835861
58.0	2.2062447564700953
59.0	2.340365318705367
60.0	2.52476017205054
61.0	2.7940723866113073
62.0	2.9990187810626585
63.0	3.084153707452829
64.0	2.9978807478417955
65.0	1.9385726486099844
