#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	2.756312990365308E-6
16.0	0.0
17.0	1.378156495182654E-6
18.0	2.756312990365308E-6
19.0	2.756312990365308E-6
20.0	1.378156495182654E-6
21.0	8.268938971095924E-6
22.0	9.647095466278579E-6
23.0	8.268938971095924E-6
24.0	6.89078247591327E-6
25.0	2.6184973408470428E-5
26.0	3.721022536993166E-5
27.0	3.445391237956635E-5
28.0	7.44204507398633E-5
29.0	6.615151176876738E-5
30.0	1.2127777157607355E-4
31.0	1.557316839556399E-4
32.0	1.4608458848936132E-4
33.0	2.0947978726776342E-4
34.0	2.466900126376951E-4
35.0	3.4867359328121146E-4
36.0	4.065561660788829E-4
37.0	4.6719505186691967E-4
38.0	6.201704228321942E-4
39.0	6.256830488129249E-4
40.0	7.373137249227199E-4
41.0	8.778856874313506E-4
42.0	0.0010239702759207118
43.0	0.0011769456468859866
44.0	0.001346458895793453
45.0	0.0016468970117432713
46.0	0.001963873005635282
47.0	0.0022091848617777944
48.0	0.002589556054448207
49.0	0.0029189354567968604
50.0	0.0035832068874749007
51.0	0.0046609252667077355
52.0	0.0045217314606942885
53.0	0.006056997796327764
54.0	0.007129203549579868
55.0	0.0091289086240899
56.0	0.011433186284035297
57.0	0.014088893850252273
58.0	0.017815429013226167
59.0	0.022035344201475453
60.0	0.02650057124586725
61.0	0.03246523255701778
62.0	0.03823695195884273
63.0	0.04429946238115123
64.0	0.0504915195140069
65.0	0.05489472951611547
66.0	0.059791319543499435
67.0	0.06356471202730955
68.0	0.06452804341744221
69.0	0.0640222599837102
70.0	0.06233539643360662
71.0	0.05779988340796051
72.0	0.05215771071668272
73.0	0.0464948656779772
74.0	0.03924714066981162
75.0	0.032618207927983055
76.0	0.02640410029120447
77.0	0.019740713636996338
78.0	0.014698039021123006
79.0	0.010354089748307278
80.0	0.007038245220897814
81.0	0.004775312255807896
82.0	0.002898263109369121
83.0	0.0017378553404253266
84.0	0.0010046760849881549
85.0	6.077670143755504E-4
86.0	3.2248861987274103E-4
87.0	1.7778218787856234E-4
88.0	8.958017218687249E-5
89.0	3.4453912379566345E-5
90.0	2.067234742773981E-5
91.0	1.5159721447009194E-5
92.0	2.756312990365308E-6
93.0	2.756312990365308E-6
94.0	1.378156495182654E-6
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.09917903217582E-5
