#Mapping quality	mapping quality
0.0	40997.0
1.0	2550.0
2.0	1798.0
3.0	1747.0
4.0	1737.0
5.0	1876.0
6.0	1980.0
7.0	2015.0
8.0	2261.0
9.0	2348.0
10.0	2036.0
11.0	1753.0
12.0	1770.0
13.0	1641.0
14.0	1610.0
15.0	1674.0
16.0	1618.0
17.0	1782.0
18.0	1785.0
19.0	1744.0
20.0	1750.0
21.0	1682.0
22.0	1759.0
23.0	1718.0
24.0	1668.0
25.0	1682.0
26.0	1742.0
27.0	1558.0
28.0	1701.0
29.0	1536.0
30.0	1450.0
31.0	1358.0
32.0	1266.0
33.0	1109.0
34.0	1173.0
35.0	1041.0
36.0	1323.0
37.0	1321.0
38.0	1196.0
39.0	1232.0
40.0	1786.0
41.0	1548.0
42.0	1367.0
43.0	1358.0
44.0	1525.0
45.0	1807.0
46.0	1628.0
47.0	1885.0
48.0	2057.0
49.0	2259.0
50.0	2455.0
51.0	2777.0
52.0	3301.0
53.0	3959.0
54.0	4420.0
55.0	5633.0
56.0	7153.0
57.0	9988.0
58.0	20440.0
59.0	747982.0
60.0	5139285.0
