# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
2	0.210421	0.210421
3	0.389669	0.179248
4	0.520598	0.130929
5	0.659320	0.138722
6	0.763751	0.104431
7	0.875976	0.112225
8	0.971055	0.095079
9	1.025609	0.054554
10	1.101984	0.076375
11	1.161214	0.059230
12	1.222002	0.060788
13	1.281232	0.059230
14	1.331110	0.049878
15	1.396574	0.065464
16	1.458921	0.062347
17	1.519709	0.060788
18	1.582056	0.062347
19	1.658431	0.076375
20	1.719219	0.060788
21	1.772214	0.052995
22	1.828326	0.056112
23	1.876645	0.048319
24	1.924964	0.048319
25	1.962372	0.037408
26	2.032512	0.070140
27	2.077714	0.045202
28	2.144737	0.067023
29	2.207084	0.062347
30	2.261638	0.054554
31	2.314633	0.052995
32	2.364511	0.049878
33	2.428417	0.063906
34	2.490764	0.062347
35	2.546876	0.056112
36	2.609223	0.062347
37	2.674687	0.065464
38	2.737034	0.062347
39	2.807174	0.070140
40	2.888225	0.081051
41	2.952131	0.063906
42	3.012919	0.060788
43	3.090853	0.077934
44	3.160993	0.070140
45	3.235809	0.074816
46	3.315301	0.079492
47	3.393235	0.077934
48	3.468051	0.074816
49	3.552220	0.084169
50	3.644182	0.091962
51	3.729909	0.085727
52	3.812519	0.082610
53	3.934096	0.121577
54	4.029175	0.095079
55	4.152310	0.123135
56	4.258300	0.105990
57	4.351821	0.093521
58	4.464046	0.112225
59	4.584064	0.120018
60	4.699406	0.115342
61	4.803837	0.104431
62	4.931648	0.127811
63	5.079722	0.148074
64	5.212209	0.132487
65	5.344696	0.132487
66	5.483418	0.138722
67	5.640844	0.157426
68	5.815416	0.174572
69	5.982194	0.166778
70	6.180146	0.197952
71	6.368746	0.188600
72	6.580726	0.211980
73	6.759974	0.179248
74	6.964161	0.204187
75	7.226019	0.261858
76	7.486318	0.260299
77	7.746617	0.260299
78	8.044324	0.297707
79	8.388791	0.344467
80	8.674029	0.285238
81	8.976412	0.302383
82	9.333349	0.356937
83	9.729253	0.395904
84	10.142302	0.413049
85	10.617698	0.475396
86	11.121150	0.503452
87	11.646424	0.525274
88	12.209106	0.562682
89	12.827901	0.618795
90	13.533981	0.706080
91	14.289939	0.755958
92	15.119155	0.829216
93	15.979544	0.860389
94	16.975538	0.995994
95	17.949711	0.974173
96	18.994024	1.044313
97	20.170825	1.176801
98	21.397503	1.226678
99	22.761345	1.363842
100	24.248322	1.486977
101	25.789853	1.541531
102	27.360999	1.571146
103	28.960201	1.599202
104	30.638895	1.678694
105	32.512424	1.873529
106	34.414009	1.901585
107	36.303125	1.889116
108	38.281085	1.977960
109	40.372829	2.091744
110	42.539389	2.166560
111	44.665424	2.126035
112	46.980058	2.314634
113	49.199613	2.219555
114	51.416051	2.216438
115	53.559231	2.143180
116	55.705528	2.146297
117	57.940670	2.235142
118	60.172695	2.232025
119	62.342373	2.169678
120	64.480877	2.138504
121	66.547682	2.066805
122	68.514732	1.967050
123	70.484899	1.970167
124	72.356869	1.871970
125	74.269365	1.912496
126	76.050932	1.781567
127	77.844969	1.794037
128	79.517429	1.672460
129	81.015317	1.497888
130	82.419684	1.404367
131	83.873929	1.454245
132	85.211273	1.337344
133	86.391191	1.179918
134	87.518114	1.126923
135	88.556192	1.038078
136	89.527247	0.971055
137	90.443749	0.916502
138	91.329077	0.885328
139	92.069448	0.740371
140	92.711623	0.642175
141	93.331976	0.620353
142	93.902452	0.570476
143	94.447989	0.545537
144	94.890653	0.442664
145	95.366049	0.475396
146	95.740131	0.374082
147	96.106420	0.366289
148	96.430625	0.324205
149	96.717421	0.286796
150	96.993307	0.275886
151	97.211522	0.218215
152	97.425061	0.213539
153	97.605867	0.180806
154	97.813171	0.207304
155	97.950335	0.137164
156	98.059442	0.109107
157	98.182577	0.123135
158	98.276098	0.093521
159	98.375853	0.099755
160	98.453787	0.077934
161	98.522369	0.068582
162	98.587833	0.065464
163	98.640828	0.052995
164	98.679795	0.038967
165	98.709410	0.029615
166	98.751494	0.042084
167	98.785785	0.034291
168	98.815400	0.029615
169	98.849691	0.034291
170	98.885541	0.035850
171	98.912038	0.026497
172	98.935418	0.023380
173	98.954122	0.018704
174	98.971267	0.017145
175	98.993088	0.021821
176	99.013351	0.020263
